"","V1"
"639",3
"640",3
"641",3
"642",3
"643",3
"644",2
"645",2
"646",2
"647",3
"648",2
"649",3
"650",2
"651",2
"652",2
"653",2
"654",2
"655",2
"656",3
"657",3
"658",1
"659",2
"660",2
"661",2
"662",1
"663",2
"664",1
"665",1
"666",2
"667",2
"668",1
"669",2
"670",2
"671",2
"672",2
"673",1
"674",1
"675",3
"676",2
"677",1
"678",2
"679",1
